N	ticker	date	amount	tax_paid	rate	currency_code	amount_rub	tax_paid_rub	amount_decimal	tax_paid_decimal	key_stroke
1	PFFD (Stock)	2022-01-07	8.18$	0.82$	74.2926₽	840	607.71₽	60.92₽	8.18	0.82	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PFFD)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07012022 {TAB} 07012022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 8.18 {TAB} 0.82 {TAB} {DOWN}
2	SRU.UN (Stock)	2022-01-17	3.08CAD	0.46CAD	60.6814₽	124	186.90₽	27.91₽	3.08	0.46	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SRU.UN)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 17012022 {TAB} 17012022 {TAB} {LEFT} 124 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 3.08 {TAB} 0.46 {TAB} {DOWN}
3	VCIT (Stock)	2022-02-04	5.27$	0.09$	76.6501₽	840	403.95₽	6.90₽	5.27	0.09	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VCIT)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 04022022 {TAB} 04022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 5.27 {TAB} 0.09 {TAB} {DOWN}
4	VCSH (Stock)	2022-02-04	8.91$	0.19$	76.6501₽	840	682.95₽	14.56₽	8.91	0.19	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VCSH)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 04022022 {TAB} 04022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 8.91 {TAB} 0.19 {TAB} {DOWN}
5	ANGL (Stock)	2022-02-07	17.56$	1.76$	76.0509₽	840	1335.45₽	133.85₽	17.56	1.76	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(ANGL)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07022022 {TAB} 07022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 17.56 {TAB} 1.76 {TAB} {DOWN}
6	EMB (Stock)	2022-02-07	11.18$	1.12$	76.0509₽	840	850.25₽	85.18₽	11.18	1.12	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(EMB)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07022022 {TAB} 07022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 11.18 {TAB} 1.12 {TAB} {DOWN}
7	PFF (Stock)	2022-02-07	3.37$	0.26$	76.0509₽	840	256.29₽	19.77₽	3.37	0.26	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PFF)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07022022 {TAB} 07022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 3.37 {TAB} 0.26 {TAB} {DOWN}
8	PSK (Stock)	2022-02-07	16.74$	1.67$	76.0509₽	840	1273.09₽	127.01₽	16.74	1.67	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PSK)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07022022 {TAB} 07022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 16.74 {TAB} 1.67 {TAB} {DOWN}
9	SHYG (Stock)	2022-02-07	22.75$	0.60$	76.0509₽	840	1730.16₽	45.63₽	22.75	0.60	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SHYG)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 07022022 {TAB} 07022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 22.75 {TAB} 0.60 {TAB} {DOWN}
10	PFFD (Stock)	2022-02-11	8.17$	0.82$	74.7241₽	840	610.50₽	61.27₽	8.17	0.82	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PFFD)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 11022022 {TAB} 11022022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 8.17 {TAB} 0.82 {TAB} {DOWN}
